Brand,Model Name,Date,Mileage,Warranty,Image URL
MINI,Countryman 204 ch BVA E,2024,6 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/33/265542/0/mini-countryman-204-ch-bva-e-occasion-2024-noisy-le-sec.jpg
BMW,iX3 M Sport 286 ch,2024,8 000 km,Garantie 34 mois,https://feassets.bymycar.fr/vo/27/265535/0/bmw-ix3-m-sport-286-ch-occasion-2024-noisy-le-sec.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,6 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/101/265501/0/volkswagen-id3-204-ch-pro-occasion-2024-fleury-les-aubrais.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,6 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/101/265498/0/volkswagen-id4-286-ch-pro-occasion-2024-fleury-les-aubrais.jpg
BMW i,i3 120 Ah 170 ch BVA,2019,32 303 km,N/A,https://feassets.bymycar.fr/vo/37/265468/0/bmw-i-i3-120-ah-170-ch-bva-occasion-2019-chennevieres-sur-marne.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,6 000 km,Garantie 46 mois,https://feassets.bymycar.fr/vo/69/265337/0/volkswagen-id4-286-ch-pro-occasion-2024-vaulx-en-velin.jpg
AUDI,e-tron GT 476 ch quattro,2023,10 km,Garantie 18 mois,https://feassets.bymycar.fr/vo/60/265328/0/audi-e-tron-gt-476-ch-quattro-occasion-2023-limonest.jpg
BMW,i5 eDrive40 340 ch,2024,4 000 km,Garantie 22 mois,N/A
VOLKSWAGEN,ID.3 204 ch Pro,2023,8 630 km,Garantie 14 mois,N/A
VOLKSWAGEN,ID.4 299 ch,2023,10 000 km,Garantie 18 mois,N/A
PEUGEOT,308 Electrique 54 kWh 156ch,2023,6 000 km,Garantie 14 mois,N/A
FORD,Mustang Mach-E Extended Range 99 kWh 351 ch AWD,2021,10 296 km,Garantie 12 mois,N/A
RENAULT,Twingo III Achat Intégral - 21,2021,14 472 km,Garantie 12 mois,N/A
OPEL,Astra Electrique 156 ch & Batterie 54 kWh,2024,500 km,Garantie 22 mois,https://feassets.bymycar.fr/vo/3/265228/0/opel-astra-electrique-156-ch---batterie-54-kwh-occasion-2024-chambery.jpg
RENAULT,Megane E-Tech EV60 220 ch super charge,2022,15 553 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/88/265197/0/renault-megane-e-tech-ev60-220-ch-super-charge-occasion-2022-fontaine.jpg
VOLKSWAGEN,ID.3 204 ch Pro Performance,2024,5 000 km,Garantie 46 mois,https://feassets.bymycar.fr/vo/70/265188/0/volkswagen-id3-204-ch-pro-performance-occasion-2024-villefranche-sur-saone.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,0 km,Garantie 46 mois,https://feassets.bymycar.fr/vo/68/265174/0/volkswagen-id4-286-ch-pro-occasion-2024-rillieux-la-pape.jpg
AUDI,Q4 e-tron Sportback 50 quattro 299 ch 82 kW,2023,1 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/126/265061/0/audi-q4-e-tron-sportback-50-quattro-299-ch-82-kw-occasion-2023-villefranche-sur-saone.jpg
AUDI,e-tron Sportback 55 quattro 408 ch,2022,9 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/126/265058/0/audi-e-tron-sportback-55-quattro-408-ch-occasion-2022-villefranche-sur-saone.jpg
AUDI,Q8 e-tron Sportback 55 408 ch 114 kWh Quattro,2023,12 790 km,Garantie 9 mois,https://feassets.bymycar.fr/vo/126/265052/0/audi-q8-e-tron-sportback-55-408-ch-114-kwh-quattro-occasion-2023-villefranche-sur-saone.jpg
AUDI,e-tron 50 quattro 313 ch,2020,37 749 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/126/265033/0/audi-e-tron-50-quattro-313-ch-occasion-2020-villefranche-sur-saone.jpg
AUDI,e-tron 55 quattro 408 ch,2020,34 329 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/126/265027/0/audi-e-tron-55-quattro-408-ch-occasion-2020-villefranche-sur-saone.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,8 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/62/265005/0/volkswagen-id4-286-ch-pro-occasion-2024-lyon.jpg
BMW,iX M60 619ch,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/35/264941/0/bmw-ix-m60-619ch-occasion-2024-saint-thibault-des-vignes.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2021,18 767 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/11/264916/0/peugeot-208-electrique-50-kwh-136ch-occasion-2021-ornex.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2023,4 402 km,Garantie 60 mois et 100 000 km,https://feassets.bymycar.fr/vo/24/264826/0/volkswagen-id3-204-ch-pro-occasion-2023-cavaillon.jpg
MERCEDES,EQE SUV 350 4MATIC,2023,47 086 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/75/264718/0/mercedes-eqe-suv-350-4matic-occasion-2023-villeneuve-loubet.jpg
VOLKSWAGEN,ID.4 149 ch,2024,5 000 km,Garantie 20 mois,https://feassets.bymycar.fr/vo/68/264707/0/volkswagen-id4-149-ch-occasion-2024-rillieux-la-pape.jpg
RENAULT,Scenic E-Tech electrique 220 ch grande autonomie,2024,2 500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/46/264688/0/renault-scenic-e-tech-electrique-220-ch-grande-autonomie-occasion-2024-pont-a-mousson.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2020,63 950 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/7/264624/0/peugeot-208-electrique-50-kwh-136ch-occasion-2020-annemasse.jpg
VOLKSWAGEN,e-up! 2.0 Electrique,2021,41 980 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/89/264589/0/volkswagen-e-up-20-electrique-occasion-2021-bourgoin-jallieu.jpg
NISSAN,Leaf Electrique 40kWh,2024,0 km,Garantie 36 Mois,N/A
NISSAN,Leaf Electrique 40kWh,2024,0 km,Garantie 36 Mois,N/A
NISSAN,Leaf Electrique 40kWh,2024,0 km,Garantie 36 Mois,N/A
VOLKSWAGEN,ID.5 286 ch Pro,2024,15 km,Garantie 34 mois,N/A
MERCEDES,eCITAN 90 KWH LONG,2023,2 500 km,Garantie 18 mois,N/A
AUDI,Q4 e-tron 50 299 ch 82 kWh quattro,2022,4 500 km,Garantie 24 MOIS,N/A
MERCEDES,EQB 350 4Matic,2022,10 690 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/96/264454/0/mercedes-eqb-350-4matic-occasion-2022-limonest.jpg
NISSAN,Leaf Electrique 40kWh,2024,100 km,Garantie 36 Mois,https://feassets.bymycar.fr/vo/73/264443/0/nissan-leaf-electrique-40kwh-occasion-2024-rillieux-la-pape.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2023,4 259 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/17/264377/0/volkswagen-id3-204-ch-pro-occasion-2023-avignon.jpg
DACIA,Spring Achat Intégral,2021,16 145 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/264326/0/dacia-spring-achat-integral-occasion-2021-laxou.jpg
RENAULT,Zoe R110 Achat Intégral,2021,10 065 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/264325/0/renault-zoe-r110-achat-integral-occasion-2021-laxou.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2020,38 348 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/43/264278/0/peugeot-208-electrique-50-kwh-136ch-occasion-2020-anthy-sur-leman.jpg
FORD,E-TRANSIT FGN 390 L2H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/31/264264/0/ford-e-transit-fgn-390-l2h2-184-ch-batterie-75-kwh-occasion-2024-venissieux.jpg
FORD,E-TRANSIT FGN 390 L2H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/31/264263/0/ford-e-transit-fgn-390-l2h2-184-ch-batterie-75-kwh-occasion-2024-venissieux.jpg
FORD,E-TRANSIT FGN 390 L2H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/31/264261/0/ford-e-transit-fgn-390-l2h2-184-ch-batterie-75-kwh-occasion-2024-venissieux.jpg
FORD,E-TRANSIT FGN 350 L3H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/31/264260/0/ford-e-transit-fgn-350-l3h2-184-ch-batterie-75-kwh-occasion-2024-venissieux.jpg
FORD,E-TRANSIT FGN 350 L3H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/31/264259/0/ford-e-transit-fgn-350-l3h2-184-ch-batterie-75-kwh-occasion-2024-venissieux.jpg
FORD,E-TRANSIT FGN 350 L3H3 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/31/264258/0/ford-e-transit-fgn-350-l3h3-184-ch-batterie-75-kwh-occasion-2024-venissieux.jpg
FORD,E-TRANSIT FGN 350 L2H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/31/264256/0/ford-e-transit-fgn-350-l2h2-184-ch-batterie-75-kwh-occasion-2024-venissieux.jpg
DACIA,Spring Achat Intégral,2022,23 428 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/13/264240/0/dacia-spring-achat-integral-occasion-2022-epinal.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,100 km,Garantie 46 mois,https://feassets.bymycar.fr/vo/4/264237/0/volkswagen-id4-286-ch-pro-occasion-2024-orange.jpg
BMW,i3 120 Ah 170 ch BVA,2022,21 430 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/123/264215/0/bmw-i3-120-ah-170-ch-bva-occasion-2022-paris.jpg
RENAULT,Scenic E-Tech electrique 220 ch grande autonomie,2024,6 500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/104/264206/0/renault-scenic-e-tech-electrique-220-ch-grande-autonomie-occasion-2024-laxou.jpg
RENAULT,Twingo III Achat Intégral - 21,2022,22 610 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/264204/0/renault-twingo-iii-achat-integral---21-occasion-2022-laxou.jpg
RENAULT,Twingo III Achat Intégral,2021,23 208 km,Garantie 6 mois,N/A
RENAULT,Twingo III Achat Intégral - 21,2021,15 325 km,Garantie 12 mois,N/A
MINI,Countryman 204 ch BVA E,2024,6 000 km,Garantie 22 mois,N/A
BMW,i3 120 Ah 170 ch BVA,2022,21 430 km,Garantie 24 MOIS,N/A
BMW,iX1 xDrive30 313ch BVA,2024,8 000 km,Garantie 22 mois,N/A
VOLKSWAGEN,ID.4 149 ch Pure,2024,500 km,Garantie 24 MOIS,N/A
VOLKSWAGEN,ID.3 204 ch Pro,2023,4 104 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/24/264118/0/volkswagen-id3-204-ch-pro-occasion-2023-cavaillon.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,8 000 km,Garantie 46 mois,https://feassets.bymycar.fr/vo/18/264111/0/volkswagen-id4-286-ch-pro-occasion-2024-ahuy.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,8 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/16/264106/0/volkswagen-id4-286-ch-pro-occasion-2024-ladoix-serrigny.jpg
BMW,i3 120 Ah 170 ch BVA,2022,55 990 km,Garantie 7 mois,https://feassets.bymycar.fr/vo/37/264020/0/bmw-i3-120-ah-170-ch-bva-occasion-2022-chennevieres-sur-marne.jpg
HYUNDAI,Ioniq 5 58 kWh - 170 ch,2023,13 646 km,Garantie 49 mois,https://feassets.bymycar.fr/vo/35/264019/0/hyundai-ioniq-5-58-kwh---170-ch-occasion-2023-saint-thibault-des-vignes.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2021,27 335 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/15/263995/0/peugeot-208-electrique-50-kwh-136ch-occasion-2021-verdun.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2021,31 645 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/122/263972/0/peugeot-208-electrique-50-kwh-136ch-occasion-2021-six-fours-les-plages.jpg
FIAT,500C e 118 ch,2021,54 779 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/70/263945/0/fiat-500c-e-118-ch-occasion-2021-villefranche-sur-saone.jpg
RENAULT,Megane E-Tech EV40 130ch standard charge,2022,11 565 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/1/263920/0/renault-megane-e-tech-ev40-130ch-standard-charge-occasion-2022-bar-le-duc.jpg
BYD,"Atto 3 60,5 kWh 204 ch",2023,16 000 km,Garantie 83 mois,https://feassets.bymycar.fr/vo/115/263884/0/byd-atto-3-605-kwh-204-ch-occasion-2023-paris.jpg
NISSAN,Leaf Electrique 40kWh,2024,10 km,Garantie 36 Mois,https://feassets.bymycar.fr/vo/73/263835/0/nissan-leaf-electrique-40kwh-occasion-2024-rillieux-la-pape.jpg
RENAULT,Zoe,Zen Gamme 2017,42 567 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/64/263818/0/renault-zoe-occasion-2017-saint-priest-en-jarez.jpg
DACIA,Spring,2023,8 929 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/17/263739/0/dacia-spring-occasion-2023-avignon.jpg
OPEL,VIVARO-E FGN TAILLE XL ELECTRIQUE 100 KW BATTERIE 75 KWH,2024,500 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/3/263727/0/opel-vivaro-e-fgn-taille-xl-electrique-100-kw-batterie-75-kwh-occasion-2024-chambery.jpg
VOLKSWAGEN,ID.7 Pro 286 ch,2023,6 000 km,Garantie 41 mois,https://feassets.bymycar.fr/vo/70/263693/0/volkswagen-id7-pro-286-ch-occasion-2023-villefranche-sur-saone.jpg
VOLKSWAGEN UTILITAIRES,ID. Buzz 204 ch Pro,2023,16 939 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/18/263667/0/volkswagen-utilitaires-id-buzz-204-ch-pro-occasion-2023-ahuy.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2021,52 300 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/7/263659/0/peugeot-208-electrique-50-kwh-136ch-occasion-2021-annemasse.jpg
OPEL,Mokka Electrique 136 ch & Batterie 50 kWh,2024,100 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/8/263562/0/opel-mokka-electrique-136-ch---batterie-50-kwh-occasion-2024-voiron.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2023,6 808 km,Garantie 60 mois et 100 000 km,N/A
KIA,e-Niro Electrique 204 ch,2020,63 658 km,Garantie 12 mois,N/A
RENAULT,Zoe R90,2018,67 376 km,Garantie 6 mois,N/A
FIAT,500 3+1 e 118 ch,2024,1 000 km,Garantie 21 mois,N/A
PEUGEOT,308 Electrique 54 kWh 156ch,2023,100 km,Garantie 24 MOIS,N/A
NISSAN,Ariya Electrique 63kWh 218 ch,2022,25 554 km,Garantie 12 mois,N/A
MERCEDES,eCITAN 90 KWH LONG,2023,1 000 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/117/263249/0/mercedes-ecitan-90-kwh-long-occasion-2023-roquebrune-sur-argens.jpg
VOLKSWAGEN,ID.5 299 ch,2024,9 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/69/263185/0/volkswagen-id5-299-ch-occasion-2024-vaulx-en-velin.jpg
NISSAN,TOWNSTAR EV FOURGON L1 ELECTRIQUE 45KWH,2023,1 820 km,Garantie 23 mois,https://feassets.bymycar.fr/vo/108/263148/0/nissan-townstar-ev-fourgon-l1-electrique-45kwh-occasion-2023-le-cannet.jpg
MERCEDES,EQC 400 4Matic,2022,28 232 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/75/263023/0/mercedes-eqc-400-4matic-occasion-2022-villeneuve-loubet.jpg
FIAT,500 e 95 ch,2023,11 145 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/17/262992/0/fiat-500-e-95-ch-occasion-2023-avignon.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2023,3 875 km,Garantie 60 mois et 100 000 km,https://feassets.bymycar.fr/vo/17/262988/0/volkswagen-id3-204-ch-pro-occasion-2023-avignon.jpg
FIAT,500C e 118 ch,2024,1 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/40/262978/0/fiat-500c-e-118-ch-occasion-2024-fontaine.jpg
RENAULT,Twingo III Achat Intégral - 21,2021,14 216 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/25/262908/0/renault-twingo-iii-achat-integral---21-occasion-2021-chatillon-sur-seine.jpg
SKODA,Enyaq iV 60,2023,0 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/59/262858/0/skoda-enyaq-iv-60-occasion-2023-venissieux.jpg
FIAT,500 e 118 ch,2022,26 630 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/262855/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
OPEL,Corsa Electrique 136 ch & Batterie 50 kWh,2024,100 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/41/262787/0/opel-corsa-electrique-136-ch---batterie-50-kwh-occasion-2024-fontaine.jpg
OPEL,Corsa Electrique 136 ch & Batterie 50 kWh,2024,7 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/8/262763/0/opel-corsa-electrique-136-ch---batterie-50-kwh-occasion-2024-voiron.jpg
MERCEDES,EQA 250,2021,50 898 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/78/262742/0/mercedes-eqa-250-occasion-2021-le-cannet.jpg
RENAULT,Zoe R110 Achat Intégral,2021,36 043 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/262604/0/renault-zoe-r110-achat-integral-occasion-2021-laxou.jpg
SMART,Forfour 82 ch,2023,6 328 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/75/262584/0/smart-forfour-82-ch-occasion-2023-villeneuve-loubet.jpg
FIAT,500 3+1 e 118 ch,2022,20 300 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/262565/0/fiat-500-3+1-e-118-ch-occasion-2022-fontaine.jpg
FIAT,500 3+1 e 118 ch,2022,32 830 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/262564/0/fiat-500-3+1-e-118-ch-occasion-2022-fontaine.jpg
AUDI,Q8 e-tron 55 408 ch 114 kWh Quattro,2024,4 500 km,Garantie 44 mois,https://feassets.bymycar.fr/vo/100/262514/0/audi-q8-e-tron-55-408-ch-114-kwh-quattro-occasion-2024-fleury-les-aubrais.jpg
SMART,Smart #1 272 ch,2023,5 000 km,Garantie 24 MOIS,N/A
BMW,iX1 xDrive30 313ch BVA,2023,2 180 km,Garantie 29 mois,N/A
MERCEDES,EQA 250+,2024,5 000 km,Garantie 24 MOIS,N/A
RENAULT,Zoe R110,2019,86 495 km,Garantie 12 mois,N/A
AUDI,Q4 e-tron 50 299 ch 82 kWh quattro,2023,2 565 km,Garantie 18 mois,N/A
SKODA,Enyaq iV 80,2023,1 000 km,Garantie 17 mois,N/A
VOLKSWAGEN,ID.4 149 ch,2024,5 000 km,Garantie 20 mois,https://feassets.bymycar.fr/vo/68/262375/0/volkswagen-id4-149-ch-occasion-2024-rillieux-la-pape.jpg
VOLKSWAGEN,ID.5 299 ch GTX,2024,10 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/62/262372/0/volkswagen-id5-299-ch-gtx-occasion-2024-lyon.jpg
VOLKSWAGEN,ID.4 149 ch Pure,2023,10 km,Garantie 18 mois,https://feassets.bymycar.fr/vo/62/262371/0/volkswagen-id4-149-ch-pure-occasion-2023-lyon.jpg
AUDI,Q8 e-tron Sportback 55 408 ch 114 kWh Quattro,2023,10 km,Garantie 18 mois,https://feassets.bymycar.fr/vo/60/262368/0/audi-q8-e-tron-sportback-55-408-ch-114-kwh-quattro-occasion-2023-limonest.jpg
OPEL,Corsa Electrique 136 ch & Batterie 50 kWh,2023,7 000 km,Garantie 17 mois,https://feassets.bymycar.fr/vo/41/262353/0/opel-corsa-electrique-136-ch---batterie-50-kwh-occasion-2023-fontaine.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2023,500 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/17/262331/0/volkswagen-id3-204-ch-pro-occasion-2023-avignon.jpg
VOLKSWAGEN UTILITAIRES,ID. Buzz 204 ch Pro,2022,12 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/16/262323/0/volkswagen-utilitaires-id-buzz-204-ch-pro-occasion-2022-ladoix-serrigny.jpg
VOLKSWAGEN,ID.3 204 ch Pro Performance,2023,7 000 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/4/262309/0/volkswagen-id3-204-ch-pro-performance-occasion-2023-orange.jpg
OPEL,COMBO-E CARGO M 800 KG ELECTRIQUE 100 KW BATTERIE 50 KWH,2023,500 km,Garantie 17 mois,https://feassets.bymycar.fr/vo/3/262307/0/opel-combo-e-cargo-m-800-kg-electrique-100-kw-batterie-50-kwh-occasion-2023-chambery.jpg
MERCEDES,eCITAN 90 KWH LONG,2023,2 070 km,Garantie 13 mois,https://feassets.bymycar.fr/vo/121/262257/0/mercedes-ecitan-90-kwh-long-occasion-2023-la-garde.jpg
VOLKSWAGEN,ID.3 204 ch Pro Performance,2023,10 500 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/118/262252/0/volkswagen-id3-204-ch-pro-performance-occasion-2023-la-garde.jpg
VOLKSWAGEN,ID.3 204 ch Pro Performance,2023,12 000 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/118/262251/0/volkswagen-id3-204-ch-pro-performance-occasion-2023-la-garde.jpg
MERCEDES,eCITAN 90 KWH LONG,2023,100 km,Garantie 18 mois,https://feassets.bymycar.fr/vo/117/262245/0/mercedes-ecitan-90-kwh-long-occasion-2023-roquebrune-sur-argens.jpg
SMART,Smart #1 272 ch,2023,5 321 km,Garantie 11 mois,https://feassets.bymycar.fr/vo/116/262236/0/smart-smart--1-272-ch-occasion-2023-la-garde.jpg
MINI,Hatch 3 Portes Cooper SE 184 ch,2021,14 493 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/27/262122/0/mini-hatch-3-portes-cooper-se-184-ch-occasion-2021-noisy-le-sec.jpg
MERCEDES,EQT 200,2023,5 000 km,Garantie 15 mois,https://feassets.bymycar.fr/vo/75/261997/0/mercedes-eqt-200-occasion-2023-villeneuve-loubet.jpg
SKODA,Enyaq iV 80,2024,6 500 km,Garantie 36 Mois,https://feassets.bymycar.fr/vo/59/261986/0/skoda-enyaq-iv-80-occasion-2024-venissieux.jpg
OPEL,Corsa Electrique 136 ch & Batterie 50 kWh,2021,29 183 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/3/261955/0/opel-corsa-electrique-136-ch---batterie-50-kwh-occasion-2021-chambery.jpg
OPEL,Mokka Electrique 136 ch & Batterie 50 kWh,2024,4 500 km,Garantie 21 mois,N/A
OPEL,Corsa Electrique 136 ch & Batterie 50 kWh,2024,4 500 km,Garantie 21 mois,N/A
OPEL,Mokka Electrique 136 ch & Batterie 50 kWh,2024,4 500 km,Garantie 21 mois,N/A
OPEL,Corsa Electrique 136 ch & Batterie 50 kWh,2022,17 050 km,Garantie 12 mois,N/A
PEUGEOT,3008 Electrique 73 kWh 210 ch,2024,7 000 km,Garantie 21 mois,N/A
RENAULT,Zoe R110,2018,32 457 km,Garantie 6 mois,N/A
RENAULT,Zoe R110 Achat Intégral,2021,21 586 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/19/261739/0/renault-zoe-r110-achat-integral-occasion-2021-saint-dizier.jpg
MERCEDES,EQA 250+,2023,6 897 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/75/261717/0/mercedes-eqa-250+-occasion-2023-villeneuve-loubet.jpg
SKODA,Enyaq iV 50,2024,1 500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/72/261715/0/skoda-enyaq-iv-50-occasion-2024-lyon.jpg
SKODA,Enyaq iV RS,2024,8 500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/72/261714/0/skoda-enyaq-iv-rs-occasion-2024-lyon.jpg
SKODA,Enyaq Coupé iV 80,2024,2 500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/72/261713/0/skoda-enyaq-coupe-iv-80-occasion-2024-lyon.jpg
SKODA,Enyaq iV 80,2024,8 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/64/261708/0/skoda-enyaq-iv-80-occasion-2024-saint-priest-en-jarez.jpg
BMW,i5 M60 xDrive 601 ch,2024,4 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/27/261564/0/bmw-i5-m60-xdrive-601-ch-occasion-2024-noisy-le-sec.jpg
PEUGEOT,3008 Electrique 73 kWh 210 ch,2024,0 km,N/A,https://feassets.bymycar.fr/vo/11/261548/0/peugeot-3008-electrique-73-kwh-210-ch-occasion-2024-ornex.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2023,4 478 km,Garantie 10 mois,https://feassets.bymycar.fr/vo/102/261544/0/volkswagen-id3-204-ch-pro-occasion-2023-orleans.jpg
OPEL,Corsa Electrique 136 ch & Batterie 50 kw/h,2021,42 816 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/73/261535/0/opel-corsa-electrique-136-ch---batterie-50-kwh-occasion-2021-rillieux-la-pape.jpg
BMW,i4 eDrive40 340 ch BVA,2024,4 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/37/261519/0/bmw-i4-edrive40-340-ch-bva-occasion-2024-chennevieres-sur-marne.jpg
DACIA,Spring,Business 2020,23 736 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/88/261472/0/dacia-spring-occasion-2020-fontaine.jpg
DACIA,Spring,Business 2020,13 009 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/88/261363/0/dacia-spring-occasion-2020-fontaine.jpg
PEUGEOT,2008 Moteur électrique 136 ch,2020,43 705 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/64/261360/0/peugeot-2008-moteur-electrique-136-ch-occasion-2020-saint-priest-en-jarez.jpg
NISSAN,Leaf Electrique 40kWh,2020,47 703 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/73/261293/0/nissan-leaf-electrique-40kwh-occasion-2020-rillieux-la-pape.jpg
BMW,iX2 xDrive30 313ch BVA,2024,4 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/37/261180/0/bmw-ix2-xdrive30-313ch-bva-occasion-2024-chennevieres-sur-marne.jpg
BMW,iX1 xDrive20 204ch BVA,2024,4 000 km,N/A,https://feassets.bymycar.fr/vo/37/261179/0/bmw-ix1-xdrive20-204ch-bva-occasion-2024-chennevieres-sur-marne.jpg
VOLKSWAGEN,ID.5 299 ch,2023,5 000 km,Garantie 18 mois,https://feassets.bymycar.fr/vo/20/261159/0/volkswagen-id5-299-ch-occasion-2023-carpentras.jpg
RENAULT,Zoe R110,2019,22 124 km,Garantie 6 mois,N/A
VOLKSWAGEN,e-up! 2.0 Electrique,2021,37 500 km,Garantie 12 mois,N/A
FIAT,500C e 95 ch,2022,2 000 km,Garantie 12 mois,N/A
RENAULT,Zoe R110 Achat Intégral,2020,37 786 km,Garantie 12 mois,N/A
VOLKSWAGEN,ID.3 204 ch Pro Performance,2023,8 980 km,Garantie 12 mois,N/A
